InstitutionId,InstitutionName,col_cat,Value,Period
333107,CAPITEC BANK,B_notice_short,32665.0,2008-08-01
333107,CAPITEC BANK,C_savings,1070699.0,2008-08-01
333107,CAPITEC BANK,D_term_wholesale,1214677.0,2008-08-01
34118,ABSA BANK LTD,A_operational,152730908.0,2008-08-01
34118,ABSA BANK LTD,B_notice_short,63489504.0,2008-08-01
34118,ABSA BANK LTD,C_savings,49271429.0,2008-08-01
34118,ABSA BANK LTD,D_term_wholesale,192756738.0,2008-08-01
416053,FIRSTRAND BANK LIMITED,A_operational,197572362.60999998,2008-08-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,38479293.57,2008-08-01
416053,FIRSTRAND BANK LIMITED,C_savings,1813380.73,2008-08-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,137510343.28,2008-08-01
416061,THE STANDARD BANK OF S A LTD,A_operational,143291851.0,2008-08-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,99348725.0,2008-08-01
416061,THE STANDARD BANK OF S A LTD,C_savings,34330579.0,2008-08-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,177372334.0,2008-08-01
416088,NEDBANK LTD,A_operational,165598712.0,2008-08-01
416088,NEDBANK LTD,B_notice_short,56828958.0,2008-08-01
416088,NEDBANK LTD,C_savings,8340730.0,2008-08-01
416088,NEDBANK LTD,D_term_wholesale,147105232.0,2008-08-01
TOTAL,*TOTAL*,A_operational,746441921.89,2008-08-01
TOTAL,*TOTAL*,B_notice_short,309796194.82,2008-08-01
TOTAL,*TOTAL*,C_savings,101183461.73,2008-08-01
TOTAL,*TOTAL*,D_term_wholesale,801217246.21,2008-08-01
25054,INVESTEC BANK LTD,A_operational,29296912.0,2008-09-01
25054,INVESTEC BANK LTD,B_notice_short,32035243.0,2008-09-01
25054,INVESTEC BANK LTD,C_savings,3354064.0,2008-09-01
25054,INVESTEC BANK LTD,D_term_wholesale,59353194.0,2008-09-01
333107,CAPITEC BANK,A_operational,29980.0,2008-09-01
333107,CAPITEC BANK,B_notice_short,34419.0,2008-09-01
333107,CAPITEC BANK,C_savings,1133888.0,2008-09-01
333107,CAPITEC BANK,D_term_wholesale,1218656.0,2008-09-01
34118,ABSA BANK LTD,A_operational,170270569.0,2008-09-01
34118,ABSA BANK LTD,B_notice_short,52181022.0,2008-09-01
34118,ABSA BANK LTD,C_savings,50890167.0,2008-09-01
34118,ABSA BANK LTD,D_term_wholesale,198872002.0,2008-09-01
416053,FIRSTRAND BANK LIMITED,A_operational,196546580.06,2008-09-01
416053,FIRSTRAND BANK LIMITED,B_notice_short,35852036.49,2008-09-01
416053,FIRSTRAND BANK LIMITED,C_savings,1829122.67,2008-09-01
416053,FIRSTRAND BANK LIMITED,D_term_wholesale,140817528.27,2008-09-01
416061,THE STANDARD BANK OF S A LTD,A_operational,154811001.0,2008-09-01
416061,THE STANDARD BANK OF S A LTD,B_notice_short,100868654.0,2008-09-01
416061,THE STANDARD BANK OF S A LTD,C_savings,34445713.0,2008-09-01
416061,THE STANDARD BANK OF S A LTD,D_term_wholesale,181637536.0,2008-09-01
416088,NEDBANK LTD,A_operational,166728108.0,2008-09-01
416088,NEDBANK LTD,B_notice_short,66885312.0,2008-09-01
416088,NEDBANK LTD,C_savings,8098581.0,2008-09-01
416088,NEDBANK LTD,D_term_wholesale,144720813.0,2008-09-01
TOTAL,*TOTAL*,A_operational,774459572.98,2008-09-01
TOTAL,*TOTAL*,B_notice_short,312380051.61,2008-09-01
TOTAL,*TOTAL*,C_savings,102703736.67000002,2008-09-01
TOTAL,*TOTAL*,D_term_wholesale,805059238.75,2008-09-01
25054,INVESTEC BANK LTD,A_operational,31414420.0,2008-10-01
25054,INVESTEC BANK LTD,B_notice_short,31739180.0,2008-10-01
25054,INVESTEC BANK LTD,C_savings,2897485.0,2008-10-01
25054,INVESTEC BANK LTD,D_term_wholesale,54589753.0,2008-10-01
333107,CAPITEC BANK,A_operational,51425.0,2008-10-01
333107,CAPITEC BANK,B_notice_short,200355.0,2008-10-01
333107,CAPITEC BANK,C_savings,1242017.0,2008-10-01
